I,wg,r,Ytilde,P2,xi,min_gap,min_ratio,argmin_phi,first_expert_gap,first_expert_ratio,err
0.2,2.099,0.437,1.399,1.137,1.469,0.093,1.044,0.5,0.341,1.163,0.0
0.206,2.122,0.459,1.429,1.142,1.488,0.108,1.051,0.502,0.354,1.167,0.0
0.212,2.148,0.482,1.459,1.147,1.51,0.121,1.056,0.502,0.364,1.169,0.0
0.218,2.17,0.505,1.489,1.152,1.53,0.136,1.063,0.503,0.377,1.174,0.0
0.224,2.197,0.529,1.52,1.158,1.553,0.149,1.068,0.505,0.387,1.176,0.0
0.229,2.22,0.554,1.551,1.163,1.574,0.165,1.074,0.505,0.4,1.18,0.0
0.235,2.243,0.58,1.583,1.169,1.596,0.181,1.081,0.507,0.414,1.185,0.0
0.241,2.269,0.606,1.615,1.174,1.62,0.195,1.086,0.508,0.424,1.187,0.0
0.247,2.293,0.633,1.647,1.18,1.642,0.211,1.092,0.508,0.438,1.191,0.0
0.253,2.319,0.661,1.68,1.186,1.667,0.225,1.097,0.51,0.449,1.194,0.0
0.259,2.343,0.689,1.713,1.191,1.691,0.242,1.103,0.511,0.463,1.198,0.0
0.265,2.37,0.719,1.747,1.197,1.717,0.256,1.108,0.512,0.474,1.2,0.0
0.271,2.393,0.749,1.781,1.203,1.742,0.274,1.114,0.513,0.489,1.204,0.0
0.276,2.417,0.78,1.816,1.209,1.767,0.292,1.121,0.515,0.503,1.208,0.0
0.282,2.444,0.812,1.851,1.215,1.795,0.307,1.125,0.516,0.515,1.211,0.0
0.288,2.468,0.844,1.886,1.221,1.821,0.325,1.132,0.517,0.53,1.215,0.0
0.294,2.496,0.878,1.922,1.228,1.85,0.34,1.136,0.519,0.541,1.217,0.0
0.3,2.52,0.912,1.958,1.234,1.877,0.359,1.142,0.52,0.557,1.221,0.0
0.306,2.544,0.947,1.995,1.24,1.906,0.378,1.149,0.522,0.573,1.225,0.0
0.312,2.572,0.983,2.032,1.246,1.936,0.394,1.153,0.523,0.585,1.227,0.0
0.318,2.596,1.02,2.07,1.253,1.966,0.413,1.159,0.525,0.601,1.231,0.0
0.324,2.624,1.058,2.108,1.259,1.997,0.43,1.164,0.526,0.613,1.234,0.0
0.329,2.649,1.097,2.147,1.266,2.028,0.45,1.17,0.528,0.629,1.238,0.0
0.335,2.674,1.137,2.186,1.272,2.06,0.47,1.176,0.529,0.646,1.242,0.0
0.341,2.702,1.178,2.226,1.279,2.093,0.487,1.18,0.531,0.659,1.244,0.0
0.347,2.727,1.219,2.266,1.286,2.126,0.507,1.186,0.532,0.676,1.248,0.0
0.353,2.755,1.262,2.306,1.293,2.162,0.525,1.191,0.534,0.689,1.25,0.0
0.359,2.78,1.306,2.348,1.3,2.196,0.546,1.196,0.536,0.706,1.254,0.0
0.365,2.808,1.351,2.389,1.307,2.233,0.564,1.201,0.538,0.72,1.256,0.0
0.371,2.834,1.396,2.431,1.314,2.268,0.585,1.207,0.539,0.737,1.26,0.0
0.376,2.859,1.443,2.474,1.321,2.305,0.607,1.212,0.541,0.755,1.264,0.0
0.382,2.887,1.491,2.517,1.328,2.344,0.626,1.217,0.543,0.769,1.266,0.0
0.388,2.913,1.54,2.56,1.336,2.382,0.647,1.222,0.545,0.787,1.27,0.0
0.394,2.942,1.59,2.604,1.343,2.423,0.667,1.227,0.547,0.802,1.273,0.0
0.4,2.967,1.642,2.649,1.35,2.463,0.689,1.232,0.548,0.821,1.277,0.0
0.406,2.993,1.694,2.694,1.358,2.504,0.712,1.238,0.55,0.839,1.28,0.0
0.412,3.022,1.748,2.739,1.366,2.547,0.731,1.242,0.552,0.854,1.283,0.0
0.418,3.048,1.802,2.786,1.373,2.589,0.754,1.248,0.554,0.874,1.287,0.0
0.424,3.077,1.858,2.832,1.381,2.635,0.774,1.252,0.556,0.889,1.289,0.0
0.429,3.103,1.915,2.879,1.389,2.679,0.798,1.257,0.558,0.909,1.293,0.0
0.435,3.129,1.974,2.927,1.397,2.725,0.821,1.263,0.56,0.928,1.297,0.0
0.441,3.158,2.033,2.975,1.405,2.773,0.842,1.267,0.562,0.944,1.299,0.0
0.447,3.184,2.094,3.024,1.413,2.82,0.866,1.272,0.564,0.964,1.303,0.0
0.453,3.213,2.156,3.073,1.421,2.871,0.887,1.276,0.567,0.981,1.305,0.0
0.459,3.239,2.22,3.123,1.429,2.92,0.911,1.281,0.568,1.001,1.309,0.0
0.465,3.269,2.284,3.173,1.438,2.973,0.933,1.285,0.571,1.018,1.311,0.0
0.471,3.295,2.35,3.224,1.446,3.024,0.957,1.291,0.573,1.039,1.315,0.0
0.476,3.321,2.417,3.276,1.454,3.077,0.982,1.296,0.575,1.06,1.319,0.0
0.482,3.351,2.486,3.327,1.463,3.133,1.004,1.3,0.577,1.077,1.322,0.0
0.488,3.377,2.556,3.38,1.472,3.188,1.029,1.305,0.58,1.099,1.325,0.0
0.494,3.407,2.627,3.433,1.481,3.247,1.051,1.309,0.582,1.116,1.328,0.0
0.5,3.433,2.7,3.486,1.489,3.304,1.076,1.314,0.584,1.138,1.332,0.0
0.506,3.459,2.774,3.54,1.498,3.363,1.102,1.318,0.587,1.16,1.335,0.0
0.512,3.489,2.849,3.595,1.507,3.426,1.124,1.322,0.589,1.178,1.338,0.0
0.518,3.515,2.926,3.65,1.516,3.487,1.15,1.327,0.592,1.201,1.342,0.0
0.524,3.545,3.005,3.705,1.526,3.552,1.172,1.331,0.594,1.219,1.344,0.0
0.529,3.571,3.084,3.762,1.535,3.616,1.198,1.336,0.597,1.242,1.348,0.0
0.535,3.597,3.165,3.819,1.544,3.682,1.224,1.34,0.599,1.265,1.352,0.0
0.541,3.627,3.248,3.876,1.554,3.752,1.247,1.344,0.602,1.284,1.354,0.0
0.547,3.653,3.332,3.934,1.563,3.82,1.273,1.348,0.604,1.307,1.358,0.0
0.553,3.683,3.418,3.992,1.573,3.893,1.296,1.352,0.607,1.326,1.36,0.0
0.559,3.709,3.505,4.051,1.583,3.964,1.322,1.356,0.609,1.349,1.364,0.0
0.565,3.739,3.594,4.11,1.593,4.04,1.345,1.36,0.612,1.369,1.366,0.0
0.571,3.765,3.684,4.17,1.602,4.115,1.371,1.364,0.615,1.393,1.37,0.0
0.576,3.791,3.775,4.231,1.612,4.191,1.397,1.368,0.617,1.416,1.374,0.0
0.582,3.82,3.868,4.291,1.623,4.272,1.42,1.372,0.62,1.436,1.376,0.0
0.588,3.846,3.963,4.353,1.633,4.351,1.446,1.376,0.623,1.46,1.38,0.0
0.594,3.876,4.059,4.415,1.643,4.436,1.468,1.379,0.626,1.481,1.382,0.0
0.6,3.901,4.157,4.477,1.653,4.519,1.494,1.383,0.628,1.504,1.386,0.0
0.606,3.927,4.256,4.54,1.664,4.603,1.52,1.387,0.632,1.528,1.389,0.0
0.612,3.957,4.357,4.604,1.674,4.694,1.542,1.39,0.635,1.549,1.391,0.0
0.618,3.982,4.459,4.668,1.685,4.782,1.568,1.394,0.637,1.573,1.395,0.0
0.624,4.011,4.564,4.732,1.696,4.876,1.59,1.396,0.64,1.594,1.397,0.0
0.629,4.037,4.669,4.797,1.706,4.968,1.615,1.4,0.643,1.618,1.401,0.0
0.635,4.062,4.776,4.862,1.717,5.063,1.64,1.404,0.647,1.642,1.404,0.0
0.641,4.091,4.885,4.928,1.728,5.163,1.661,1.406,0.65,1.662,1.406,0.0
0.647,4.116,4.995,4.994,1.739,5.261,1.685,1.409,0.653,1.686,1.41,0.0
0.653,4.145,5.107,5.061,1.751,5.365,1.706,1.412,0.656,1.706,1.412,0.0
0.659,4.17,5.22,5.128,1.762,5.468,1.73,1.415,0.659,1.73,1.415,0.0
0.665,4.198,5.335,5.195,1.773,5.577,1.75,1.417,0.665,1.75,1.417,0.0
0.671,4.223,5.451,5.263,1.785,5.683,1.774,1.42,0.671,1.774,1.42,0.0
0.676,4.247,5.568,5.331,1.796,5.792,1.797,1.423,0.677,1.797,1.423,0.0
0.682,4.275,5.688,5.4,1.808,5.908,1.816,1.425,0.683,1.816,1.425,0.0
0.688,4.299,5.808,5.469,1.819,6.021,1.839,1.428,0.688,1.839,1.428,0.0
0.694,4.327,5.93,5.538,1.831,6.141,1.858,1.429,0.695,1.858,1.429,0.0
0.7,4.351,6.053,5.608,1.843,6.259,1.88,1.432,0.7,1.88,1.432,0.0
